text,label
"2525/581ย่อสั้นจำเลยเป็นธนาคารละเลยไม่เรียกเก็บเงินตามเช็คให้โจทก์ซึ่งเป็นลูกค้าทั้งๆที่เงินในบัญชีของผู้สั่งจ่ายเช็คนั้นมีพอที่จะหักเข้าบัญชีให้โจทก์ได้ก่อนและบัญชีของผู้สั่งจ่ายก็อยู่ในธนาคารจำเลยเองเป็นเหตุให้เงินในบัญชีของผู้สั่งจ่ายกลับไม่พอชำระหนี้ตามเช็คให้โจทก์เพราะได้มีการถอนเงินรายอื่นหลายรายการจากบัญชีของผู้สั่งจ่ายในวันนั้นและจำเลยก็มิได้แจ้งเหตุขัดข้องและคืนเช็คให้โจทก์จำเลยจึงต้องรับผิดย่อยาวโจทก์ฟ้องว่าจำเลยที่1เป็นธนาคารจำเลยที่2เป็นลูกจ้างจำเลยที่1ทำหน้าที่สมุห์บัญชีธนาคารจำเลยที่1สาขาพิษณุโลกโจทก์เป็นลูกค้าของจำเลยที่1ได้เปิดบัญชีเงินฝากกระแสรายวันที่ธนาคารจำเลยที่1สาขาพิษณุโลกเมื่อวันที่31ตุลาคม2520โจทก์นำเช็คธนาคารจำเลยที่1สาขาพิษณุโลกเลขที่011399/2333ลงวันที่1พฤศจิกายน2520จำนวนเงิน100,000บาทซึ่งนายวิรัชจิรัฐติกาลโชติสั่งจ่ายชำระหนี้ให้โจทก์ไปฝากเข้าบัญชีของโจทก์เพื่อเรียกเก็บเงินจำเลยที่2เป็นผู้รับเช็คดังกล่าวไว้โจทก์เข้าใจว่าธนาคารจำเลยที่1ได้เรียกเก็บเงินให้โจทก์เรียบร้อยแล้วต่อมาเมื่อเดือนมิถุนายน2521โจทก์ได้ตรวจสอบบัญชีของโจทก์พบว่าจำเลยที่1และจำเลยที่2หาได้เรียกเก็บเงินตามเช็คให้โจทก์ไม่ทั้งไม่ได้แจ้งเหตุขัดข้องและไม่คืนเช็คให้โจทก์เมื่อโจทก์สอบถามก็ถูกปฏิเสธทำให้โจทก์เสียสิทธิเรียกร้องให้นายวิรัชชำระหนี้ตามเช็คเป็นการละเมิดต่อโจทก์จำเลยทั้งสองต้องร่วมกันรับผิดชดใช้ค่าสินไหมทดแทนพร้อมดอกเบี้ยจำเลยที่1ที่2ให้การว่าเมื่อวันที่31ตุลาคม2520โจทก์นำเช็คของธนาคารจำเลยที่1สาขาพิษณุโลกดังกล่าวมาเข้าบัญชีเงินฝากของโจทก์จริงเมื่อเช็คถึงกำหนดปรากฏว่าเงินในบัญชีกระแสรายวันของนายวิรัชผู้สั่งจ่ายไม่พอจ่ายจำเลยที่1จึงปฏิเสธการจ่ายเงินและคืนเช็คพร้อมกับใบคืนเช็คให้โจทก์รับไปแล้วตั้งแต่วันที่1พฤศจิกายน2520โจทก์ชอบที่จะฟ้องเรียกเงินจากนายวิรัชผู้สั่งจ่ายโจทก์ใช้สิทธิไม่สุจริตโจทก์รู้เรื่องธนาคารปฏิเสธการจ่ายเงินตั้งแต่วันที่10พฤศจิกายน2520แต่เพิ่งมาฟ้องคดีนี้เมื่อวันที่23เมษายน2522เกินกว่า1ปีแล้วคดีขาดอายุความขอให้ยกฟ้องศาลชั้นต้นพิพากษายกฟ้องโจทก์อุทธรณ์ศาลอุทธรณ์พิพากษายืนโจทก์ฎีกา",favorable
"2533/829ย่อสั้นโจทก์ฟ้องขอให้จำเลยรับผิดใช้ค่าสินไหมทดแทนเนื่องจากการที่ตัวแทนหรือลูกจ้างของจำเลยทำละเมิดต่อโจทก์ไปในทางการที่จ้างซึ่งค่าสินไหมทดแทนที่จำเลยจะต้องรับผิดใช้ให้แก่โจทก์มีมากน้อยเพียงใดก็ต้องพิจารณาว่าความเสียหายนั้นได้เกิดขึ้นเพราะฝ่ายไหนเป็นผู้ก่อยิ่งหย่อนกว่ากันเพียงไรด้วยจำเลยทั้งสองให้การต่อสู้ว่าเหตุที่เรือชนกันไม่ใช่เพราะความผิดของฝ่ายจำเลยแต่เป็นความผิดของฝ่ายโจทก์การที่ศาลวินิจฉัยว่าเหตุละเมิดเกิดจากการกระทำโดยประมาทของฝ่ายโจทก์ด้วยจึงเป็นการวินิจฉัยตามข้อต่อสู้ของจำเลยว่าจำเลยมิได้เป็นฝ่ายประมาทแต่โจทก์เป็นฝ่ายประมาทไม่เป็นการวินิจฉัยนอกประเด็น.ย่อยาวโจทก์ฟ้องว่าเมื่อวันที่16กันยายน2523ขณะที่เรือลำเลียงชื่อไทยขนส่ง6ของโจทก์แล่นอยู่ในลำน้ำแม่น้ำสมุทรสาครบริเวณหน้าวัดช่องลมตำบลมหาชัยอำเภอเมืองสมุทรสาครจังหวัดสมุทรสาครนายท้ายเรือซึ่งเป็นตัวแทนและลูกจ้างของจำเลยทั้งสองได้แล่นเรือจ.โชคชัยยินดี2ของจำเลยทั้งสองไปในทางการที่จ้างด้วยความประมาทปราศจากความระมัดระวังโดยมิได้ปฏิบัติตามกฎหมายว่าด้วยการเดินเรือในน่านน้ำไทยด้วยการขับเรือเพื่อจะแซงขึ้นหน้าเรือของโจทก์ทั้งสองเป็นเหตุให้เรือของจำเลยทั้งสองแล่นชนกราบซ้ายเรือโจทก์ทั้งสองทำให้เรือของโจทก์ทั้งสองชำรุดเสียหายเกือบทั้งลำโจทก์ทั้งสองต้องทำการซ่อมแซมเป็นเวลา4เดือนครึ่งเสียค่าซ่อมแซมเป็นเงิน219,737.50บาทและโจทก์ทั้งสองต้องขาดประโยชน์ที่ควรได้จากการนำเรือไปรับจ้างบรรทุกสินค้าอีกเป็นเงิน135,000บาทรวมเป็นเงิน354,737.50บาทคิดดอกเบี้ยในอัตราร้อยละเจ็ดครึ่งต่อปีนับแต่วันทำละเมิดถึงวันฟ้องเป็นเงิน26,531บาทรวมเป็นเงิน381,268.50บาทขอให้พิพากษาบังคับให้จำเลยทั้งสองใช้ค่าเสียหายจำนวนดังกล่าวพร้อมดอกเบี้ยจำเลยทั้งสองให้การว่าการที่เรือชนกันไม่ใช่ความผิดของฝ่ายจำเลยแต่เป็นความผิดของฝ่ายโจทก์เพราะเรือของจำเลยเป็นเรือใหญ่แล่นอยู่ใกล้แนวกึ่งกลางของแม่น้ำเป็นการปฏิบัติตามกฎหมายว่าด้วยการเดินเรือในน่านน้ำไทยและได้ใช้ความระมัดระวังแล้วฝ่ายโจทก์ทั้งสองประมาทเลินเล่อปราศจากความระมัดระวังและไม่ปฏิบัติตามกฎหมายว่าด้วยการเดินเรือในน่านน้ำไทยโดยเรือโจทก์ทั้งสองเป็นเรือพ่วงหลายลำอยู่ในทางโค้งตามกระแสน้ำและอยู่ท้ายพ่วงไม่จุดไฟสัญญาณและวิ่งตัดหน้าเรือของจำเลยทั้งสองโดยกระชั้นชิดโดยไม่ให้ไฟสัญญาณขณะจะเลี้ยวเข้าคลองท้ายเรือปัดขวางหน้าเรือจำเลยทั้งสองทำให้เรือของจำเลยทั้งสองซึ่งวิ่งตามกระแสน้ำไม่สามารถหยุดหรือหลบหลีกได้ทันและนายเรือขณะนั้นไม่ใช่เป็นตัวแทนและลูกจ้างที่ปฏิบัติหน้าที่ตามคำสั่งหรือในทางการที่จ้างของจำเลยทั้งสองค่าซ่อมแซมเรือของโจทก์ทั้งสองอย่างมากไม่เกิน5,000บาทค่าขาดประโยชน์ที่โจทก์ฟ้องเป็นเรื่องอนาคตอันไม่แน่นอนโจทก์ทั้งสองไม่มีสิทธิเรียกร้องส่วนจำเลยได้รับความเสียหายที่โขนหัวเรือของจำเลยทั้งสองหักต้องเปลี่ยนใหม่เสียค่าน้ำแข็งดองปลาค่าจ้างคนงานและไม่ได้นำเรือออกจับปลาคิดเป็นเงิน450,000บาทขอให้ยกฟ้องศาลชั้นต้นพิจารณาแล้ววินิจฉัยว่าเหตุที่เรือของจำเลยทั้งสองแล่นชนเรือของโจทก์ทั้งสองเกิดจากการกระทำโดยประมาทของทั้งฝ่ายโจทก์และฝ่ายจำเลยไม่ยิ่งหย่อนกว่ากันค่าเสียหายย่อมเป็นพับกันไปจำเลยทั้งสองไม่ต้องรับผิดใช้ค่าสินไหมทดแทนแก่โจทก์พิพากษายกฟ้องโจทก์ค่าฤชาธรรมเนียมให้เป็นพับโจทก์ทั้งสองอุทธรณ์ศาลอุทธรณ์พิพากษายืนโจทก์ทั้งสองฎีกา",unfavorable
"2533/829ย่อสั้นโจทก์ฟ้องขอให้จำเลยรับผิดใช้ค่าสินไหมทดแทนเนื่องจากการที่ตัวแทนหรือลูกจ้างของจำเลยทำละเมิดต่อโจทก์ไปในทางการที่จ้างซึ่งค่าสินไหมทดแทนที่จำเลยจะต้องรับผิดใช้ให้แก่โจทก์มีมากน้อยเพียงใดก็ต้องพิจารณาว่าความเสียหายนั้นได้เกิดขึ้นเพราะฝ่ายไหนเป็นผู้ก่อยิ่งหย่อนกว่ากันเพียงไรด้วยจำเลยทั้งสองให้การต่อสู้ว่าเหตุที่เรือชนกันไม่ใช่เพราะความผิดของฝ่ายจำเลยแต่เป็นความผิดของฝ่ายโจทก์การที่ศาลวินิจฉัยว่าเหตุละเมิดเกิดจากการกระทำโดยประมาทของฝ่ายโจทก์ด้วยจึงเป็นการวินิจฉัยตามข้อต่อสู้ของจำเลยว่าจำเลยมิได้เป็นฝ่ายประมาทแต่โจทก์เป็นฝ่ายประมาทไม่เป็นการวินิจฉัยนอกประเด็น.ย่อยาวโจทก์ฟ้องว่าเมื่อวันที่16กันยายน2523ขณะที่เรือลำเลียงชื่อไทยขนส่ง6ของโจทก์แล่นอยู่ในลำน้ำแม่น้ำสมุทรสาครบริเวณหน้าวัดช่องลมตำบลมหาชัยอำเภอเมืองสมุทรสาครจังหวัดสมุทรสาครนายท้ายเรือซึ่งเป็นตัวแทนและลูกจ้างของจำเลยทั้งสองได้แล่นเรือจ.โชคชัยยินดี2ของจำเลยทั้งสองไปในทางการที่จ้างด้วยความประมาทปราศจากความระมัดระวังโดยมิได้ปฏิบัติตามกฎหมายว่าด้วยการเดินเรือในน่านน้ำไทยด้วยการขับเรือเพื่อจะแซงขึ้นหน้าเรือของโจทก์ทั้งสองเป็นเหตุให้เรือของจำเลยทั้งสองแล่นชนกราบซ้ายเรือโจทก์ทั้งสองทำให้เรือของโจทก์ทั้งสองชำรุดเสียหายเกือบทั้งลำโจทก์ทั้งสองต้องทำการซ่อมแซมเป็นเวลา4เดือนครึ่งเสียค่าซ่อมแซมเป็นเงิน219,737.50บาทและโจทก์ทั้งสองต้องขาดประโยชน์ที่ควรได้จากการนำเรือไปรับจ้างบรรทุกสินค้าอีกเป็นเงิน135,000บาทรวมเป็นเงิน354,737.50บาทคิดดอกเบี้ยในอัตราร้อยละเจ็ดครึ่งต่อปีนับแต่วันทำละเมิดถึงวันฟ้องเป็นเงิน26,531บาทรวมเป็นเงิน381,268.50บาทขอให้พิพากษาบังคับให้จำเลยทั้งสองใช้ค่าเสียหายจำนวนดังกล่าวพร้อมดอกเบี้ยจำเลยทั้งสองให้การว่าการที่เรือชนกันไม่ใช่ความผิดของฝ่ายจำเลยแต่เป็นความผิดของฝ่ายโจทก์เพราะเรือของจำเลยเป็นเรือใหญ่แล่นอยู่ใกล้แนวกึ่งกลางของแม่น้ำเป็นการปฏิบัติตามกฎหมายว่าด้วยการเดินเรือในน่านน้ำไทยและได้ใช้ความระมัดระวังแล้วฝ่ายโจทก์ทั้งสองประมาทเลินเล่อปราศจากความระมัดระวังและไม่ปฏิบัติตามกฎหมายว่าด้วยการเดินเรือในน่านน้ำไทยโดยเรือโจทก์ทั้งสองเป็นเรือพ่วงหลายลำอยู่ในทางโค้งตามกระแสน้ำและอยู่ท้ายพ่วงไม่จุดไฟสัญญาณและวิ่งตัดหน้าเรือของจำเลยทั้งสองโดยกระชั้นชิดโดยไม่ให้ไฟสัญญาณขณะจะเลี้ยวเข้าคลองท้ายเรือปัดขวางหน้าเรือจำเลยทั้งสองทำให้เรือของจำเลยทั้งสองซึ่งวิ่งตามกระแสน้ำไม่สามารถหยุดหรือหลบหลีกได้ทันและนายเรือขณะนั้นไม่ใช่เป็นตัวแทนและลูกจ้างที่ปฏิบัติหน้าที่ตามคำสั่งหรือในทางการที่จ้างของจำเลยทั้งสองค่าซ่อมแซมเรือของโจทก์ทั้งสองอย่างมากไม่เกิน5,000บาทค่าขาดประโยชน์ที่โจทก์ฟ้องเป็นเรื่องอนาคตอันไม่แน่นอนโจทก์ทั้งสองไม่มีสิทธิเรียกร้องส่วนจำเลยได้รับความเสียหายที่โขนหัวเรือของจำเลยทั้งสองหักต้องเปลี่ยนใหม่เสียค่าน้ำแข็งดองปลาค่าจ้างคนงานและไม่ได้นำเรือออกจับปลาคิดเป็นเงิน450,000บาทขอให้ยกฟ้องศาลชั้นต้นพิจารณาแล้ววินิจฉัยว่าเหตุที่เรือของจำเลยทั้งสองแล่นชนเรือของโจทก์ทั้งสองเกิดจากการกระทำโดยประมาทของทั้งฝ่ายโจทก์และฝ่ายจำเลยไม่ยิ่งหย่อนกว่ากันค่าเสียหายย่อมเป็นพับกันไปจำเลยทั้งสองไม่ต้องรับผิดใช้ค่าสินไหมทดแทนแก่โจทก์พิพากษายกฟ้องโจทก์ค่าฤชาธรรมเนียมให้เป็นพับโจทก์ทั้งสองอุทธรณ์ศาลอุทธรณ์พิพากษายืนโจทก์ทั้งสองฎีกา",unfavorable
2519/248ย่อสั้นสมรสตามพิธีมีสินสอดแต่ไม่มีการหมั้นแล้วชายไม่ไปจดทะเบียนสมรสไม่เป็นละเมิดย่อยาว,unfavorable
"2555/406ย่อสั้นแม้จำเลยจะเป็นผู้ยื่นแบบขอใช้ไฟฟ้าและมีชื่อในทะเบียนผู้ใช้ไฟฟ้าเพื่อให้โจทก์จ่ายกระแสไฟฟ้าให้จำเลยที่บ้านพิพาทก็ตามแต่เมื่อมีการโอนกรรมสิทธิ์ที่ดินและบ้านพิพาทให้ป.ไปแล้วย่อมถือได้ว่ามีการโอนกรรมสิทธิ์และสิทธิการใช้ไฟฟ้าซึ่งติดกับตัวบ้านให้แก่ป.แล้วโดยปริยายป.จึงต้องรับไปทั้งสิทธิและหน้าที่ตามสัญญาการใช้ไฟฟ้าที่จำเลยมีต่อโจทก์ในฐานะผู้รับโอนสิทธิการใช้ไฟฟ้าและเป็นผู้ครอบครองสถานที่ใช้ไฟฟ้าที่แท้จริงด้วยแม้จำเลยจะยังไม่บอกเลิกการใช้ไฟฟ้าและโอนทะเบียนผู้ใช้ไฟฟ้าให้ป.ก็ตามเมื่อขณะตรวจพบการทำละเมิดต่อคร่อมสายไฟฟ้าจำเลยไม่ได้อยู่ที่บ้านพิพาทหรือร่วมรู้เห็นหรือได้รับประโยชน์จากการกระทำดังกล่าวอีกทั้งโจทก์ก็ฟ้องบังคับเอาแก่ป.แล้วจำเลยจึงไม่มีความผูกพันต้องชำระหนี้ค่าไฟฟ้าแก่โจทก์ย่อยาวโจทก์ฟ้องขอให้บังคับจำเลยชำระเงินจำนวน826,311.11บาทพร้อมดอกเบี้ยอัตราร้อยละ7.5ปีนับถัดจากวันฟ้องจนกว่าจะชำระเสร็จแก่โจทก์จำเลยให้การและแก้ไขคำให้การขอให้ยกฟ้องศาลชั้นต้นพิพากษายกฟ้องค่าฤชาธรรมเนียมให้เป็นพับโจทก์อุทธรณ์ศาลอุทธรณ์พิพากษากลับให้จำเลยชำระเงินจำนวน826,311.11บาทพร้อมดอกเบี้ยอัตราร้อยละ7.5ต่อปีนับถัดจากวันฟ้อง(ฟ้องวันที่20กันยายน2548)จนกว่าจะชำระเสร็จแก่โจทก์กับให้จำเลยใช้ค่าฤชาธรรมเนียมทั้งสองศาลแทนโจทก์โดยกำหนดค่าทนายความรวม20,000บาทจำเลยฎีกา",unfavorable
2486/837ย่อสั้นพนักงานสอบสวนมีอำนาดยึด++เรือยนต์เพื่อการสอบสวน++ที่หาว่าคนเรือทำผิดกดหมาย+ได้ถ้าไม่เปนการเกินสมควนและ+โดยสุจริตแล้วไม่เปนละเมิดไบอนุญาตเรือยนต์ที่พนักงานสอบสวนยึดไว้ย่อมเปนพยานหลักถานตามความหมายของม.131ประมวนวิธีพิจารนาความอาญา.ย่อยาวโจทฟ้องเรียกค่าเสียหายถานละเมิดจากจำเลยโดยอ้างว่าแกล้งยึดไบอนุญาตเรือยนต์ของโจทสาลชั้นต้นฟังว่าจำเลยยึดไว้๕วันเพื่อการสอบสวนไนกรนีที่หาว่าคนเรือทำผิดกดหมายจำเลยจึงไม่ต้องรับผิดไนความเสียหายจึงพิพากสายกฟ้องสาลอุธรน์พิพากสายืน.โจทดีกาคดีคงมีสัญหาเพียงว่าพนักงานสอบสวนจะยึดไบอนุญาตเดินเรือไว้เพื่อการสอบสวนได้หรือไม่,unfavorable
"2506/390ย่อสั้นการที่โจทก์ยินยอมอนุญาตให้รั้วของจำเลยยังคงรุกล้ำที่ดินของโจทก์อยู่ได้ต่อไปนั้นจำเลยจะอ้างการครอบครองปรปักษ์ขึ้นเป็นข้อต่อสู้กรรมสิทธิ์ในที่ดินต่อโจทก์หาได้ไม่และเมื่อใดโจทก์ไม่มีความประสงค์จะให้รั้วของจำเลยคงอยู่ในที่ดินของโจทก์ต่อไปแล้วโจทก์ก็ฟ้องขอให้ศาลบังคับจำเลยรื้อถอนรั้วนั้นออกไปจากที่ดินของโจทก์ได้ทันทีหาจำต้องบอกกล่าวแก่จำเลยก่อนฟ้องไม่โจทก์ฟ้องให้จำเลยรื้อรั้วที่อนุญาตให้สร้างอยู่ในที่ดินของโจทก์ออกไปจำเลยรับสำเนาฟ้องแล้วไม่ยอมรื้อรั้วกลับต่อสู้คดีดังนี้ถือว่าจำเลยทำละเมิดต่อโจทก์นับแต่วันรับสำเนาฟ้องเป็นต้นไปย่อยาวโจทก์ฟ้องว่าจำเลยได้ทำรั้วเขตรุกล้ำเข้ามาในที่ดินของโจทก์ทางด้านทิศใต้เนื้อที่ประมาณ8ตารางวาโจทก์ได้ว่ากล่าวให้จำเลยรื้อถอนแล้วจำเลยก็เพิกเฉยจึงขอเรียกค่าเสียหายที่ไม่ได้ใช้ที่ดินที่จำเลยรุกล้ำเป็นเวลา8ปีเป็นเงิน1,600บาทและให้จำเลยรื้อรั้วออกไปจากที่ดินโจทก์จำเลยให้การว่าโจทก์ไม่มีสิทธิฟ้องฟ้องเคลือบคลุมที่ดินของโจทก์นั้นเดิมเป็นของสามีจำเลยสามีจำเลยยกให้โจทก์โดยเสน่หาขณะยกให้สามีจำเลยได้ทำรั้วเข้าไปในที่ดินประมาณ6ตารางวาขึ้นไว้ก่อนจะยกให้โจทก์แล้วโจทก์ก็ทราบดีว่าเป็นทางเดินติดเขตรั้วที่สามีจำเลยทำไว้ก่อนก็ไม่ทักท้วงประการใดโจทก์ไม่เคยว่ากล่าวให้จำเลยหรือสามีจำเลยรื้อถอนแต่อย่างใดขอให้ยกฟ้องศาลชั้นต้นพิพากษาให้จำเลยรื้อรั้วรายพิพาทออกไปเสียจากที่ดินโจทก์ให้จำเลยใช้ค่าเสียหายนับแต่วันรับสำเนาฟ้องจนกว่าจำเลยจะรื้อรั้วออกไปจำเลยอุทธรณ์ศาลอุทธรณ์เห็นว่าจำเลยทำรั้วรายพิพาทขึ้นด้วยความยินยอมของโจทก์จึงไม่เป็นการละเมิดและโจทก์ไม่เคยบอกกล่าวให้จำเลยรื้อถอนรั้วเลยโจทก์จึงจะมาฟ้องจำเลยฐานละเมิดทีเดียวไม่ได้พิพากษายกฟ้องโจทก์ฎีกา",favorable
"2518/2573ย่อสั้นโจทก์ฟ้องว่าจำเลยข่มขืนกระทำชำเราจนเป็นเหตุให้โจทก์ตั้งครรภ์และคลอดบุตรคือเด็กชายบ.ขอให้จำเลยใช้ค่าเสียหายและรับเด็กชายบ.เป็นบุตรรพร้อมทั้งให้มีสิทธิใช้นามสกุลของจำเลยกับเรียกค่าอุปการะเลี้ยงดูบุตรด้วยนั้นแม้บิดาโจทก์เคยฟ้องจำเลยเป็นคดีอาญาว่าจำเลยข่มขืนกระทำชำเราโจกท์และศาลพิพากษาถึงที่สุดให้ยกฟ้องเพราะบิดาโจทก์ไม่มีอำนาจฟ้องโดยมิได้พิพากษาว่าจำเลยมิได้ข่มขืนกระทำชำเราโจทก์ย่อมไม่ทำให้หลักฐานของคดีโจทก์ในเรื่องนี้เสียไปเมื่อฟังได้ว่าจำเลยข่มขืนกระทำชำเราโจทก์จนเป็นเหตุให้โจทก์ตั้งครรภ์ถูกจำเลยข่มขืนกระทำชำเราจนตั้งครรภ์ทำให้ค่าของความเป็นสาวต้องตกต่ำและค่าใช้จ่ายในการคลอดกับแสดงว่าเด็กชายบ.เป็นบุตรของจำเลยมีสิทธิใช้นามสกุลของจำเลยให้จำเลยจ่ายค่าอุปการะเลี้ยงดูเด็กชายบ.ตั้งแต่คลอดจนถึงวันฟ้องและจ่ายต่อไปเป็นรายเดือนจนกว่าเด็กชายบ.จะมีอายุครบ20ปีจำเลยให้การต่อสู้ว่าค่าเสียหายตามฟ้องเกี่ยวกับละเมิดขาดอายุความเมื่อศาลชั้นต้นพิพากษายกฟ้องโจทก์อุทธรณ์จำเลยมิได้ตั้งประเด็นเรื่องอายุความมาในคำแก้อุทธรณ์และเมื่อศาลอุทธรณ์พิพากษายืนโจทก์ฎีกาต่อมาจำเลยก็มิได้ยื่นคำแก้ฎีกาจึงไม่ประเด็นเครื่องอายุความในชั้นฎีกาย่อยาวโจทก์ฟ้องว่าจำเลยกระทำละเมิดต่อโจทก์โดยฉุดคร่าอนาจารและข่มขืนกระทำชำเราโจทก์จนเป็นเหตุให้โจทก์ตั้งครรภ์และคลอดบุตรคือเด็กชายบ๋อขอให้จำเลยใช้ค่าเสียหายที่ทำให้โจทก์เสียความบริสุทธิ์๑๐,๐๐๐บาทค่าใช้จ่ายในการคลอดบุตร๒,๐๐๐บาทและให้พิพากษาให้จำเลยรับเด็กชายบ๋อตั้งแต่เกิดจนถึงวันฟ้องรวม+ปีเศษเป็นเงิน๑๖,๒๐๐บาทและอีกเดือนละ๓๐๐บาทนับแต่วันฟ้องจนกว่าจะบรรลุนิติภาวะจำเลยให้การว่าไม่ได้ข่มขืนกระทำขำเราโจทก์โจทก์ตั้งครรภ์และมีบุตรอย่างไรจำเลยไม่ได้เกี่ยวข้องด้วยค่าเสียหายฟ้องเกี่ยวกับละเมิดขาดอายุความแล้วศาลชั้นต้นพิพากษายกฟ้องโจทก์อุทธรณ์ศาลอุทธรณ์พิพากษายืนโจทก์ฎีกา",favorable
2492/632ย่อสั้นฟ้องโจทก์กล่าวชัดว่าจำเลยมาขอทำนาในปีพ.ศ.2488-2489ครั้นพ.ศ.2490โจทก์จะเอาคืนจำเลยไม่ยอมให้การที่โจทก์มิได้ระบุวันหรือเดือนที่จำเลยมาขอทำไม่เป็นเหตุที่จะถือว่าเป็นฟ้องเคลือบคลุมเพราะวันเดือนที่ขอทำไม่ใช่ข้อสำคัญในคดีผู้มีสิทธิรับมรดกไม่ได้ปกครองภายใน1ปีภายหลังเข้ามาขออาศัยผู้มีสิทธิรับมรดกซึ่งปกครองตลอดมาดังนี้ผู้ที่ปกครองฟ้องขับไล่ผู้ขออาศัยได้โดยถือว่าผู้ขออาศัยหมดสิทธิแล้วย่อยาวโจทก์ฟ้องว่าโจทก์และบุตรทั้ง3ได้ถือสิทธิครอบครองเป็นเจ้าของทรัพย์อันเป็นมรดกนายนัดนางลั่นและนางอิ่มผู้ตายมาแต่ฝ่ายเดียวพ.ศ.2488-2489จำเลยทั้งสองมาขอทำนามรดกนายนัดนางลั่นโจทก์อนุญาตให้ทำครั้นปีพ.ศ.2490โจทก์จะเอานาคืนจำเลยทั้งสองไม่ให้และแย่งทำทำให้โจทก์เสียหายจึงขอให้ศาลห้ามมิให้จำเลยเกี่ยวข้องต่อไปและเรียกค่าเสียหายจำเลยให้การต่อสู้ในข้อเท็จจริงและตัดฟ้องว่าที่โจทก์ฟ้องว่าจำเลยอาศัยทำนานั้นโจทก์มิได้อ้างวันเดือนปีให้ชัดเจนจึงเป็นฟ้องเคลือบคลุมศาลชั้นต้นฟังว่าฟ้องไม่เคลือบคลุมแล้วพิพากษาให้แบ่งนามรดกระหว่างโจทก์จำเลยศาลอุทธรณ์พิพากษาแก้ให้โจทก์ชนะคดีตามฟ้องนายแจ้งจำเลยฎีกา,favorable
"2517/106ย่อสั้นประกันภัยค้ำจุนนั้นผู้รับประกันภัยจะต้องรับผิดในความวินาศภัยที่เกิดขึ้นก็ต่อเมื่อผู้เอาประกันภัยต้องรับผิดชอบข้อเท็จจริงได้ความว่าจำเลยที่1และจำเลยที่2ซึ่งเป็นผู้รับผิดชดใช้ค่าเสียหายให้แก่โจทก์มิใช่เป็นผู้เอาประกันภัยไว้กับจำเลยที่3จำเลยที่2เป็นเพียงผู้เช่าซื้อรถยนต์จากห้างหุ้นส่วนสามัญนิติบุคคลตั้งเซียฮวดพาณิชย์ซึ่งเป็นผู้เอาประกันภัยไว้กับจำเลยที่3ตามกรมธรรม์ประกันภัยที่ว่าด้วยลักษณะความรับผิดต่อบุคคลภายนอกก็มีข้อความไว้ชัดแจ้งว่าเมื่อมีวินาศภัยเกิดขึ้นจำเลยที่3ผู้รับประกันภัยจะรับชดใช้ค่าเสียหายแทนผู้เอาประกันภัยเท่านั้นไม่มีข้อความตอนใดที่ผู้รับประกันภัยตกลงยอมชดใช้ค่าเสียหายแทนผู้เช่าซื้อรถยนต์คันที่เอาประกันภัยไว้ดังนั้นเมื่อจำเลยที่1ขับรถยนต์คันดังกล่าวในทางการที่จ้างของจำเลยที่2โดยประมาทเป็นเหตุให้ชนท้ายรถยนต์ของโจทก์เสียหายโจทก์ย่อมไม่มีอำนาจฟ้องจำเลยที่3ให้ร่วมรับผิดด้วยย่อยาวโจทก์ฟ้องว่าโจทก์เป็นเจ้าของรถยนต์บรรทุกหมายเลขทะเบียนฉ.ช.00486จำเลยที่1ลูกจ้างจำเลยที่2ขับรถยนต์หมายเลขทะเบียนน.ฐ.01877ของบริษัทมิตซูบิชิซึ่งจำเลยที่2เป็นผู้เช่าซื้อไปจากห้างหุ้นส่วนสามัญนิติบุคคลตั้งเซียฮวดพาณิชย์ผู้แทนจำหน่ายจำเลยที่1ขับรถคันดังกล่าวในทางการที่จ้างของจำเลยที่2โดยประมาทเป็นเหตุให้ชนท้ายรถบรรทุกของโจทก์เสียหายทั้งสิ้น5,000บาทจำเลยที่3ในฐานะผู้รับประกันวินาศภัยรถยนต์หมายเลขทะเบียนน.ฐ.01877จากห้างหุ้นส่วนสามัญนิติบุคคลตั้งเซียฮวดพาณิชย์ต้องรับผิดร่วมกับจำเลยที่1และ2ด้วยขอให้จำเลยทั้งสามร่วมกันใช้ค่าเสียหายตามฟ้องจำเลยที่1,2ขาดนัดยื่นคำให้การและขาดนัดพิจารณาจำเลยที่3ให้การว่าได้รับประกันวินาศภัยรถยนต์คันดังกล่าวจากห้างหุ้นส่วนสามัญนิติบุคคลตั้งเซียฮวดพาณิชย์แต่ห้างนี้ไม่ได้ถูกฟ้องให้รับผิดด้วยจำเลยที่3จึงไม่ต้องรับผิดศาลชั้นต้นพิพากษาให้จำเลยทั้งสามร่วมกันใช้ค่าเสียหายแก่โจทก์จำเลยที่3อุทธรณ์ศาลอุทธรณ์พิพากษาแก้เป็นว่าให้ยกฟ้องโจทก์สำหรับจำเลยที่3โจทก์ฎีกาให้จำเลยที่3รับผิดร่วมกับจำเลยที่1,2",partially favorable
